model,language,test_total_words,token_1_n,token_2_n,token_3_n,token_1_prop,token_2_prop,token_3_prop,loss_token_1,loss_token_2,loss_token_3,diff_ent,mi_token_1,mi_token_2,mi_token_3
mbert,de,4784,3755,598,614,0.78,0.12,0.13,9.41,10.96,11.12,10.19,0.78,-0.77,-0.93
mbert,en,4772,4440,367,245,0.93,0.08,0.05,8.61,10.14,10.56,9.49,0.88,-0.65,-1.07
mbert,fr,2451,2111,246,216,0.86,0.1,0.09,8.72,10.66,10.66,9.81,1.09,-0.85,-0.85
mbert,it,3805,3022,558,419,0.79,0.15,0.11,8.77,10.56,10.7,9.79,1.02,-0.77,-0.91
mbert,ja,4953,2578,1645,307,0.52,0.33,0.06,7.9,9.69,10.35,9.25,1.35,-0.44,-1.1
mbert,kor,1055,223,387,434,0.21,0.37,0.41,10.1,10.64,10.97,10.63,0.53,-0.01,-0.34
mbert,sr,1762,1181,411,258,0.67,0.23,0.15,4.59,3.62,2.75,7.23,2.64,3.61,4.48
mbert,sv,2635,1861,507,360,0.71,0.19,0.14,8.84,10.44,10.61,9.75,0.91,-0.69,-0.86
mbert,th,4209,540,1267,1986,0.13,0.3,0.47,8.65,9.19,10.02,9.49,0.84,0.3,-0.53
mbert,vi,3728,2623,601,85,0.7,0.16,0.02,9.94,10.22,,10.32,0.38,0.1,
mbert,zh,3645,1236,1632,378,0.34,0.45,0.1,9.01,10.53,10.66,10.29,1.28,-0.24,-0.37
mbert,yue,3513,2118,855,89,0.6,0.24,0.03,8.7,7.41,,8.7,-0.0,1.29,
